file_name,category_name,item,details,looks,colors,prints,textures,sleeveLength,length,neckLine,fit,shape,clip_brand,clip_score
00165_00.jpg,TOPS,Polo Shirts,Buttoned,Casual,Black,lettering,Cotton,Short Sleeve,normal,Shirt Collar,normal-fit,,Unknown,0.3206
00235_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,Yellow,Solid,Cotton,Long Sleeve,normal,V Neck,normal-fit,,Unknown,0.2922
00619_00.jpg,TOPS,T-shirts,See through,Casual,White,Solid,Knit,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.297
00825_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,Purple,Solid,Cotton,Short Sleeve,normal,V Neck,normal-fit,,Unknown,0.3027
00834_00.jpg,TOPS,Bra Top,Frill,Feminine,White,Solid,Cotton,Sleeveless,cropped,V Neck,tight-fit,,Unknown,0.3179
00912_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,Orange,Solid,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.314
00997_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,White,lettering,Cotton,Short Sleeve,normal,V Neck,normal-fit,,Unknown,0.309
01005_00.jpg,TOPS,T-shirts,Pockets,Casual,Pink,lettering,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.298
01024_00.jpg,TOPS,T-shirts,Stitch,Casual,Black,graphic,Synthetic,Long Sleeve,normal,Round Neck,normal-fit,,Unknown,0.2786
01445_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,Grey,lettering,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.3093
01684_00.jpg,TOPS,Tank Top,Buttoned,Casual,Beige,Stripe,Cotton,Sleeveless,normal,V Neck,normal-fit,,Unknown,0.299
01704_00.jpg,TOPS,Tank Top,unbalanced,Casual,White,Solid,Cotton,Sleeveless,normal,V Neck,tight-fit,,Unknown,0.305
02003_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,White,lettering,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.3071
02280_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,White,graphic,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.2908
02301_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,Black,graphic,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.2788
02529_00.jpg,TOPS,T-shirts,Stitch,Casual,Grey,Solid,Cotton,Cropped Sleeve,normal,Round Neck,normal-fit,,Unknown,0.302
02603_00.jpg,TOPS,T-shirts,Buttoned,Casual,Red,Solid,Cotton,Short Sleeve,normal,V Neck,normal-fit,,Unknown,0.2935
02654_00.jpg,TOPS,T-shirts,Buttoned,Casual,Navy,Solid,Synthetic,Cropped Sleeve,normal,V Neck,normal-fit,,Unknown,0.3152
02695_00.jpg,TOPS,Polo Shirts,Buttoned,Casual,Sky Blue,graphic,Cotton,Short Sleeve,normal,Shirt Collar,normal-fit,,Unknown,0.298
02842_00.jpg,TOPS,Sweatshirt,Drop shoulder,Casual,Black,Solid,Cotton,Long Sleeve,normal,Round Neck,normal-fit,,Unknown,0.289
02843_00.jpg,TOPS,Polo Shirts,Buttoned,,Sky Blue,Solid,Synthetic,Sleeveless,normal,Shirt Collar,normal-fit,,Unknown,0.3015
02962_00.jpg,TOPS,T-shirts,,Casual,Grey,Solid,Cotton,Long Sleeve,normal,Round Neck,tight-fit,,Unknown,0.2983
02974_00.jpg,TOPS,Sweater,Drop shoulder,Casual,Black,Dot,Knit,Long Sleeve,normal,V Neck,oversized,,Unknown,0.2944
03022_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,Red,Stripe,Cotton,Cropped Sleeve,normal,Round Neck,normal-fit,,Unknown,0.309
03140_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,White,graphic,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.2954
03452_00.jpg,TOPS,Bustier,See through,Feminine,Lavender,Solid,Lace,Sleeveless,cropped,V Neck,tight-fit,,Unknown,0.2856
03463_00.jpg,TOPS,Tank Top,unbalanced,Casual,White,Solid,Cotton,Sleeveless,normal,U Neck,normal-fit,,Unknown,0.3044
03548_00.jpg,TOPS,T-shirts,unbalanced,Casual,Yellow,Solid,Cotton,Cropped Sleeve,normal,Round Neck,normal-fit,,Unknown,0.2908
03643_00.jpg,TOPS,Blouse,Frill,Ethnic,Green,Stripe,Synthetic,Sleeveless,normal,Round Neck,normal-fit,,Unknown,0.2751
03706_00.jpg,TOPS,T-shirts,Embroidery,Casual,Navy,lettering,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.3062
03739_00.jpg,TOPS,T-shirts,Stitch,Casual,Red,graphic,Cotton,Short Sleeve,cropped,Round Neck,normal-fit,,Unknown,0.2957
03832_00.jpg,TOPS,T-shirts,Pockets,Casual,Navy,Solid,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.3083
04124_00.jpg,TOPS,T-shirts,Pockets,Casual,Red,ZigZag,Synthetic,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.308
04231_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,White,graphic,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.2903
04241_00.jpg,TOPS,T-shirts,X strap,Casual,Black,Solid,Synthetic,Short Sleeve,normal,V Neck,normal-fit,,Unknown,0.2832
04256_00.jpg,TOPS,T-shirts,Cut off,Casual,Black,Solid,Cotton,Short Sleeve,normal,Round Neck,tight-fit,,Unknown,0.3032
04266_00.jpg,TOPS,Blouse,Zip up,Casual,Yellow,Dot,Synthetic,Sleeveless,normal,V Neck,normal-fit,,Unknown,0.2908
04383_00.jpg,TOPS,T-shirts,Stitch,Casual,Grey,Stripe,Cotton,Short Sleeve,cropped,Round Neck,normal-fit,,Unknown,0.3044
04429_00.jpg,TOPS,Bustier,Shirring,Resort,Black,Floral,Synthetic,Sleeveless,normal,V Neck,normal-fit,,Unknown,0.284
04466_00.jpg,TOPS,T-shirts,Ribbon,Casual,Black,Solid,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.305
04585_00.jpg,TOPS,T-shirts,,Casual,Wine,Solid,Knit,Long Sleeve,normal,Turtle Neck,tight-fit,,Unknown,0.281
04622_00.jpg,TOPS,T-shirts,Stitch,Casual,Navy,Solid,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.3179
04660_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,Wine,Solid,Knit,Long Sleeve,normal,Turtle Neck,normal-fit,,Unknown,0.2827
04677_00.jpg,TOPS,T-shirts,,Casual,Black,Solid,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.2969
04723_00.jpg,TOPS,T-shirts,Drop shoulder,Casual,White,Solid,Cotton,Cropped Sleeve,normal,Round Neck,normal-fit,,Unknown,0.303
04779_00.jpg,TOPS,T-shirts,Ribbon,Casual,White,Stripe,Cotton,Sleeveless,normal,Round Neck,normal-fit,,Unknown,0.2925
04802_00.jpg,TOPS,Polo Shirts,Buttoned,Casual,Beige,Solid,Cotton,Long Sleeve,normal,Shirt Collar,normal-fit,,Unknown,0.3135
04895_00.jpg,TOPS,T-shirts,Spangle,Casual,White,Leopard,Cotton,Short Sleeve,normal,Round Neck,normal-fit,,Unknown,0.2595
04928_00.jpg,TOPS,T-shirts,Cut out,Casual,White,graphic,Cotton,Short Sleeve,normal,Round Neck,tight-fit,,Unknown,0.3
